TEAM,TEAM ABBREVIATION,SEASON,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS,,,,,,,,,,,,,,,,,,,
Indiana Pacers,IND,2018,3-1,2-2,4-0,3-1,2-2,3-1,0-2,1-1,1-3,2-0,0-2,,2-0,1-1,2-0,2-2,3-1,1-1,0-2,2-1,0-2,3-0,2-1,2-0,0-2,2-0,2-0,1-3,1-1,1-2,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers,LAC,2018,2-0,1-1,2-0,2-0,1-1,1-1,2-1,2-1,1-1,1-3,2-2,0-2,,3-1,2-2,0-2,2-0,0-4,1-3,1-1,0-3,2-0,0-2,4-0,1-3,4-0,1-2,2-0,1-3,1-1,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,LOS,2018,2-0,1-1,2-0,2-0,1-1,1-1,3-1,2-2,1-1,0-4,1-3,1-1,1-3,,2-2,1-1,0-2,0-4,0-3,1-1,2-2,1-1,1-1,3-1,0-3,2-2,3-0,0-2,0-3,1-1,,,,,,,,,,,,,,,,,,,
Memphis Grizzlies,MEM,2018,1-1,0-2,0-2,0-2,0-2,0-2,1-3,1-3,1-1,1-2,2-2,0-2,2-2,2-2,,0-2,0-2,2-1,2-2,1-1,0-4,0-2,1-1,1-3,2-2,2-1,0-4,0-2,0-3,0-2,,,,,,,,,,,,,,,,,,,
Miami Heat,MIA,2018,3-1,2-1,1-3,3-1,4-0,1-2,2-0,1-1,2-2,0-2,0-2,2-2,2-0,1-1,2-0,,3-0,1-1,0-2,2-2,0-2,2-2,2-2,2-0,0-2,0-2,0-2,2-1,2-0,2-2,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,MIL,2018,3-0,2-2,2-1,2-2,2-2,1-3,1-1,0-2,2-2,1-1,0-2,1-3,0-2,2-0,2-0,0-3,,1-1,0-2,4-0,1-1,3-1,2-2,2-0,2-0,2-0,2-0,1-2,1-1,2-2,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,MIN,2018,1-1,0-2,1-1,1-1,1-1,1-1,4-0,3-1,0-2,1-2,0-4,1-1,4-0,4-0,1-2,1-1,1-1,,4-0,2-0,3-1,1-1,0-2,2-2,2-2,3-0,1-2,1-1,2-2,1-1,,,,,,,,,,,,,,,,,,,
New Orleans Pelicans,NOP,2018,1-1,2-0,2-0,2-0,2-0,1-1,3-1,1-2,2-0,1-3,1-3,2-0,3-1,3-0,2-2,2-0,2-0,0-4,,1-1,2-1,1-1,1-1,3-0,2-2,2-2,3-1,0-2,1-3,0-2,,,,,,,,,,,,,,,,,,,
New York Knicks,NYK,2018,1-2,1-3,4-0,1-3,2-2,2-2,1-1,1-1,0-3,0-2,0-2,1-2,1-1,1-1,1-1,2-2,0-4,0-2,1-1,,1-1,1-3,0-4,2-0,0-2,1-1,0-2,1-3,2-0,1-2,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,OKC,2018,2-0,0-2,1-1,2-0,1-1,1-1,2-2,1-3,1-1,2-2,2-1,2-0,3-0,2-2,4-0,2-0,1-1,1-3,1-2,1-1,,1-1,2-0,2-1,0-4,3-1,2-2,2-0,3-1,1-1,,,,,,,,,,,,,,,,,,,
Orlando Magic,ORL,2018,2-2,1-3,1-3,0-4,0-4,2-2,1-1,0-2,2-1,0-2,0-2,0-3,0-2,1-1,2-0,2-2,1-3,1-1,1-1,3-1,1-1,,0-3,2-0,0-2,0-2,1-1,0-3,0-2,1-3,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,PHI,2018,3-0,1-3,3-1,2-1,4-0,2-2,2-0,2-0,4-0,0-2,1-1,1-2,2-0,1-1,1-1,2-2,2-2,2-0,1-1,4-0,0-2,3-0,,1-1,1-1,0-2,2-0,1-3,2-0,2-2,,,,,,,,,,,,,,,,,,,
Phoenix Suns,PHO,2018,1-1,0-2,1-1,2-0,0-2,0-2,3-0,1-2,0-2,0-4,0-4,0-2,0-4,1-3,3-1,0-2,0-2,2-2,0-3,0-2,1-2,0-2,1-1,,0-4,3-1,0-4,0-2,1-3,1-1,,,,,,,,,,,,,,,,,,,
Portland Trail Blazers,PLB,2018,1-1,0-2,1-1,2-0,2-0,1-1,2-1,1-3,1-1,2-1,0-4,2-0,3-1,3-0,2-2,2-0,0-2,2-2,2-2,2-0,4-0,2-0,1-1,4-0,,3-1,1-2,0-2,2-2,1-1,,,,,,,,,,,,,,,,,,,
Sacramento Kings,SAC,2018,1-1,0-2,2-0,2-0,0-2,1-1,2-2,1-3,0-2,2-2,1-2,0-2,0-4,2-2,1-2,2-0,0-2,0-3,2-2,1-1,1-3,2-0,2-0,1-3,1-3,,0-4,0-2,0-3,0-2,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,SAN,2018,1-1,1-1,2-0,2-0,2-0,2-0,3-1,2-2,1-1,1-3,1-3,0-2,2-1,0-3,4-0,2-0,0-2,2-1,1-3,2-0,2-2,1-1,0-2,4-0,2-1,4-0,,1-1,1-3,1-1,,,,,,,,,,,,,,,,,,,
Toronto Raptors,TOR,2018,4-0,2-2,4-0,4-0,4-0,1-2,1-1,1-1,4-0,0-2,2-0,3-1,0-2,2-0,2-0,1-2,2-1,1-1,2-0,3-1,0-2,3-0,3-1,2-0,2-0,2-0,1-1,,1-1,2-2,,,,,,,,,,,,,,,,,,,
Utah Jazz,UTA,2018,0-2,1-1,1-1,1-1,1-1,1-1,3-0,2-2,2-0,3-1,0-4,1-1,3-1,3-0,3-0,0-2,1-1,2-2,3-1,0-2,1-3,2-0,0-2,3-1,2-2,3-0,3-1,1-1,,2-0,,,,,,,,,,,,,,,,,,,
Washington Wizards,WAS,2018,2-2,3-1,1-2,2-1,1-3,1-3,0-2,1-1,3-1,0-2,1-1,2-1,1-1,1-1,2-0,2-2,2-2,1-1,2-0,2-1,1-1,3-1,2-2,1-1,1-1,2-0,1-1,2-2,0-2,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,ATL,2017,,2-1,2-2,3-1,1-3,3-1,2-0,2-0,1-2,0-2,2-0,1-2,0-2,0-2,1-1,2-2,3-1,0-2,1-1,3-1,1-1,2-2,4-0,1-1,1-1,1-1,1-1,2-1,0-2,1-3,,,,,,,,,,,,,,,,,,,
Boston Celtics,BOS,2017,1-2,,4-0,2-2,4-0,1-3,2-0,0-2,3-1,1-1,1-1,3-0,1-1,2-0,2-0,4-0,2-1,2-0,1-1,3-1,0-2,3-0,3-1,1-1,1-1,1-1,0-2,1-3,2-0,2-2,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,BKN,2017,2-2,0-4,,1-3,1-3,0-3,0-2,1-1,2-1,0-2,0-2,1-3,1-1,1-1,1-1,0-3,0-4,1-1,1-1,2-2,0-2,1-2,1-3,2-0,0-2,1-1,0-2,0-4,0-2,0-4,,,,,,,,,,,,,,,,,,,
Charlotte Hornets,CLH,2017,3-1,0-4,3-1,1-2,,0-4,2-0,2-0,1-3,0-2,0-2,2-2,0-2,2-0,1-1,2-2,1-2,1-1,0-2,1-2,2-0,4-0,1-2,1-1,1-1,1-1,0-2,2-2,1-1,1-3,,,,,,,,,,,,,,,,,,,
Chicago Bulls,CHI,2017,1-3,2-2,3-1,,2-1,4-0,0-2,0-2,2-2,1-1,0-2,2-2,0-2,1-1,1-1,2-1,1-3,0-2,2-0,0-3,1-1,3-1,3-1,1-1,1-1,2-0,1-1,2-1,2-0,1-3,,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers,CLE,2017,1-3,3-1,3-0,0-4,4-0,,1-1,1-1,2-2,1-1,1-1,3-1,0-2,2-0,1-1,1-3,3-1,2-0,1-1,4-0,1-1,3-0,3-0,2-0,1-1,1-1,0-2,3-1,1-1,2-1,,,,,,,,,,,,,,,,,,,
Dallas Mavericks,DAL,2017,0-2,0-2,2-0,2-0,0-2,1-1,,1-3,0-2,0-3,0-4,1-1,2-2,4-0,2-2,1-1,2-0,1-2,2-2,1-1,1-2,1-1,1-1,1-3,2-2,1-2,1-3,0-2,1-3,2-0,,,,,,,,,,,,,,,,,,,
Denver Nuggets,DEN,2017,0-2,2-0,1-1,2-0,0-2,1-1,3-1,,0-2,1-2,0-4,2-0,3-1,2-1,0-3,1-1,2-0,2-2,3-1,2-0,1-3,2-0,1-1,4-0,1-3,2-2,0-3,0-2,2-2,0-2,,,,,,,,,,,,,,,,,,,
Detroit Pistons,DET,2017,2-1,1-3,1-2,2-2,3-1,2-2,2-0,2-0,,0-2,1-1,0-4,1-1,2-0,1-1,2-2,1-3,2-0,1-1,2-2,1-1,1-3,2-1,1-1,2-0,0-2,0-2,1-3,0-2,1-2,,,,,,,,,,,,,,,,,,,
Golden State Warriors,GOL,2017,2-0,1-1,2-0,1-1,2-0,1-1,3-0,2-1,2-0,,3-1,2-0,4-0,3-1,2-2,1-1,2-0,3-1,4-0,2-0,4-0,2-0,2-0,4-0,4-0,3-1,1-2,2-0,2-1,1-1,,,,,,,,,,,,,,,,,,,
Houston Rockets,HOU,2017,0-2,1-1,2-0,2-0,2-0,1-1,4-0,4-0,1-1,1-3,,0-2,2-1,2-1,2-2,0-2,1-1,3-1,3-1,2-0,3-1,2-0,2-0,4-0,2-1,4-0,1-3,1-1,1-2,2-0,,,,,,,,,,,,,,,,,,,
Indiana Pacers,IND,2017,2-1,0-3,3-1,2-2,2-2,1-3,1-1,0-2,4-0,0-2,2-0,,2-0,1-1,1-1,1-2,1-3,1-1,1-1,1-3,2-0,4-0,3-1,1-1,1-1,2-0,0-2,1-2,1-1,1-3,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers,LAC,2017,2-0,1-1,1-1,2-0,2-0,2-0,2-2,1-3,1-1,0-4,1-2,0-2,,3-1,3-1,2-0,0-2,1-2,2-1,2-0,2-2,2-0,1-1,4-0,3-0,3-1,3-1,1-1,3-1,1-1,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,LOS,2017,2-0,0-2,1-1,1-1,0-2,0-2,0-4,1-2,0-2,1-3,1-2,1-1,1-3,,2-1,1-1,1-1,2-2,2-2,1-1,1-2,1-1,1-1,2-2,0-4,2-2,1-3,0-2,0-4,0-2,,,,,,,,,,,,,,,,,,,
Memphis Grizzlies,MEM,2017,1-1,0-2,1-1,1-1,1-1,1-1,2-2,3-0,1-1,2-2,2-2,1-1,1-3,1-2,,1-1,1-1,3-1,2-2,1-1,1-3,1-1,2-0,3-0,1-2,2-2,2-2,1-1,3-1,1-1,,,,,,,,,,,,,,,,,,,
Miami Heat,MIA,2017,2-2,0-4,3-0,1-2,2-2,3-1,1-1,1-1,2-2,1-1,2-0,2-1,0-2,1-1,1-1,,3-1,2-0,1-1,1-2,0-2,1-3,2-2,1-1,0-2,2-0,0-2,1-3,1-1,4-0,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,MIL,2017,1-3,1-2,4-0,3-1,2-1,1-3,0-2,0-2,3-1,0-2,1-1,3-1,2-0,1-1,1-1,1-3,,1-1,1-1,2-1,1-1,2-1,2-2,2-0,2-0,2-0,1-1,1-3,0-2,1-3,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,MIN,2017,2-0,0-2,1-1,2-0,1-1,0-2,2-1,2-2,0-2,1-3,1-3,1-1,2-1,2-2,1-3,0-2,1-1,,0-3,0-2,1-3,2-0,1-1,3-0,1-3,1-3,0-4,1-1,1-3,1-1,,,,,,,,,,,,,,,,,,,
New Orleans Pelicans,NOP,2017,1-1,1-1,1-1,0-2,2-0,1-1,2-2,1-3,1-1,0-4,1-3,1-1,1-2,2-2,2-2,1-1,1-1,3-0,,2-0,0-4,1-1,1-1,3-1,3-1,1-2,1-3,0-2,0-3,0-2,,,,,,,,,,,,,,,,,,,
New York Knicks,NYK,2017,1-3,1-3,2-2,3-0,2-1,0-4,1-1,0-2,2-2,0-2,0-2,3-1,0-2,1-1,1-1,2-1,1-2,2-0,0-2,,0-2,3-1,2-2,0-2,1-1,2-0,1-1,0-4,0-2,0-4,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,OKC,2017,1-1,2-0,2-0,1-1,0-2,1-1,2-1,3-1,1-1,0-4,1-3,0-2,2-2,2-1,3-1,2-0,1-1,3-1,4-0,2-0,,1-1,2-0,2-2,1-3,2-1,1-2,1-1,3-1,1-1,,,,,,,,,,,,,,,,,,,
Orlando Magic,ORL,2017,2-2,0-3,2-1,1-3,0-4,0-3,1-1,0-2,3-1,0-2,0-2,0-4,0-2,1-1,1-1,3-1,1-2,0-2,1-1,1-3,1-1,,3-1,1-1,1-1,1-1,1-1,2-2,0-2,2-2,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,PHI,2017,0-4,1-3,3-1,1-3,2-1,0-3,1-1,1-1,1-2,0-2,0-2,1-3,1-1,1-1,0-2,2-2,2-2,1-1,1-1,2-2,0-2,1-3,,1-1,1-1,1-1,0-2,1-3,0-2,2-1,,,,,,,,,,,,,,,,,,,
Phoenix Suns,PHO,2017,1-1,1-1,0-2,1-1,1-1,0-2,3-1,0-4,1-1,0-4,0-4,1-1,0-4,2-2,0-3,1-1,0-2,0-3,1-3,2-0,2-2,1-1,1-1,,1-3,1-3,1-2,2-0,0-3,0-2,,,,,,,,,,,,,,,,,,,
Portland Trail Blazers,PLB,2017,1-1,1-1,2-0,1-1,1-1,1-1,2-2,3-1,0-2,0-4,1-2,1-1,0-3,4-0,2-1,2-0,0-2,3-1,1-3,1-1,3-1,1-1,1-1,3-1,,2-1,2-2,0-2,2-2,0-2,,,,,,,,,,,,,,,,,,,
Sacramento Kings,SAC,2017,1-1,1-1,1-1,0-2,1-1,1-1,2-1,2-2,2-0,1-3,0-4,0-2,1-3,2-2,2-2,0-2,0-2,3-1,2-1,0-2,1-2,1-1,1-1,3-1,1-2,,0-4,2-0,1-3,0-2,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,SAN,2017,1-1,2-0,2-0,1-1,2-0,2-0,3-1,3-0,2-0,2-1,3-1,2-0,1-3,3-1,2-2,2-0,1-1,4-0,3-1,1-1,2-1,1-1,2-0,2-1,2-2,4-0,,2-0,2-2,2-0,,,,,,,,,,,,,,,,,,,
Toronto Raptors,TOR,2017,1-2,3-1,4-0,1-2,2-2,1-3,2-0,2-0,3-1,0-2,1-1,2-1,1-1,2-0,1-1,3-1,3-1,1-1,2-0,4-0,1-1,2-2,3-1,0-2,2-0,0-2,0-2,,2-0,2-1,,,,,,,,,,,,,,,,,,,
Utah Jazz,UTA,2017,2-0,0-2,2-0,0-2,1-1,1-1,3-1,2-2,2-0,1-2,2-1,1-1,1-3,4-0,1-3,1-1,2-0,3-1,3-0,2-0,1-3,2-0,2-0,3-0,2-2,3-1,2-2,0-2,,2-0,,,,,,,,,,,,,,,,,,,
Washington Wizards,WAS,2017,3-1,2-2,4-0,3-1,3-1,1-2,0-2,2-0,2-1,1-1,0-2,3-1,1-1,2-0,1-1,0-4,3-1,1-1,2-0,4-0,1-1,2-2,1-2,2-0,2-0,2-0,0-2,1-2,0-2,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,ATL,2016,,3-1,2-1,4-0,3-1,0-3,2-0,2-0,3-1,0-2,2-0,2-2,1-1,2-0,2-0,1-3,1-2,0-2,2-0,2-2,1-1,2-2,3-0,1-1,2-0,1-1,0-2,1-3,1-1,2-2,,,,,,,,,,,,,,,,,,,
Boston Celtics,BOS,2016,1-3,,2-2,2-1,2-1,1-2,0-2,2-0,2-2,1-1,1-1,1-3,1-1,1-1,1-1,3-0,3-1,1-1,2-0,3-1,1-1,2-2,4-0,2-0,1-1,2-0,0-2,1-3,1-1,4-0,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,BKN,2016,1-2,2-2,,1-2,0-4,1-3,0-2,2-0,1-3,0-2,2-0,1-3,0-2,0-2,0-2,1-3,0-3,0-2,0-2,2-2,1-1,0-4,2-2,2-0,0-2,1-1,0-2,0-4,1-1,0-3,,,,,,,,,,,,,,,,,,,
Charlotte Hornets,CLH,2016,1-3,1-2,4-0,3-1,,1-3,1-1,0-2,2-1,0-2,1-1,3-0,0-2,2-0,2-0,2-2,3-1,2-0,1-1,3-1,0-2,3-1,4-0,1-1,1-1,2-0,1-1,1-2,1-1,2-2,,,,,,,,,,,,,,,,,,,
Chicago Bulls,CHI,2016,0-4,1-2,2-1,,1-3,3-1,0-2,1-1,1-3,0-2,2-0,3-1,1-1,2-0,1-1,0-4,3-1,0-2,2-0,1-3,2-0,1-2,4-0,1-1,1-1,2-0,1-1,4-0,1-1,1-2,,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers,CLE,2016,3-0,2-1,3-1,1-3,3-1,,2-0,2-0,1-3,0-2,1-1,3-1,2-0,2-0,1-1,1-2,3-1,2-0,1-1,4-0,2-0,4-0,4-0,2-0,1-1,2-0,1-1,1-2,1-1,2-2,,,,,,,,,,,,,,,,,,,
Dallas Mavericks,DAL,2016,0-2,2-0,2-0,2-0,1-1,0-2,,3-1,1-1,1-3,2-2,0-2,1-3,3-0,3-1,0-2,1-1,4-0,2-2,2-0,0-4,1-1,2-0,3-0,2-1,1-3,0-4,0-2,2-1,1-1,,,,,,,,,,,,,,,,,,,
Denver Nuggets,DEN,2016,0-2,0-2,0-2,1-1,2-0,0-2,1-3,,2-0,1-3,3-0,1-1,1-2,3-1,1-3,0-2,1-1,3-1,1-2,2-0,0-4,0-2,2-0,2-2,1-3,0-3,1-3,2-0,0-4,2-0,,,,,,,,,,,,,,,,,,,
Detroit Pistons,DET,2016,1-3,2-2,3-1,3-1,1-2,3-1,1-1,0-2,,1-1,2-0,1-3,0-2,1-1,0-2,2-2,3-1,2-0,0-2,1-2,1-1,3-0,4-0,2-0,2-0,1-1,0-2,1-2,2-0,1-3,,,,,,,,,,,,,,,,,,,
Golden State Warriors,GOL,2016,2-0,1-1,2-0,2-0,2-0,2-0,3-1,3-1,1-1,,3-0,2-0,4-0,3-1,4-0,2-0,1-1,2-1,3-0,2-0,3-0,2-0,2-0,4-0,3-1,4-0,3-1,2-0,4-0,2-0,,,,,,,,,,,,,,,,,,,
Houston Rockets,HOU,2016,0-2,1-1,0-2,0-2,1-1,1-1,2-2,0-3,0-2,0-3,,1-1,2-2,4-0,2-2,1-1,1-1,3-0,3-1,1-1,2-2,1-1,2-0,2-1,2-2,3-1,1-3,2-0,2-2,1-1,,,,,,,,,,,,,,,,,,,
Indiana Pacers,IND,2016,2-2,3-1,3-1,1-3,0-3,1-3,2-0,1-1,3-1,0-2,1-1,,1-1,2-0,0-2,2-2,3-1,2-0,2-0,3-0,1-1,3-1,3-0,2-0,0-2,0-2,1-1,1-3,0-2,2-1,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers,LAC,2016,1-1,1-1,2-0,1-1,2-0,0-2,3-1,2-1,2-0,0-4,2-2,1-1,,4-0,2-1,2-0,2-0,3-1,3-1,2-0,1-3,2-0,2-0,2-2,3-1,3-1,1-2,0-2,2-1,2-0,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,LOS,2016,0-2,1-1,2-0,0-2,0-2,0-2,0-3,1-3,1-1,1-3,0-4,0-2,0-4,,1-3,1-1,1-1,1-2,2-1,0-2,0-4,1-1,1-1,1-3,0-3,0-4,0-4,0-2,1-3,1-1,,,,,,,,,,,,,,,,,,,
Memphis Grizzlies,MEM,2016,0-2,1-1,2-0,1-1,0-2,1-1,1-3,3-1,2-0,0-4,2-2,2-0,1-2,3-1,,1-1,1-1,2-2,4-0,2-0,1-2,1-1,2-0,2-2,2-2,3-0,0-4,0-2,1-2,1-1,,,,,,,,,,,,,,,,,,,
Miami Heat,MIA,2016,3-1,0-3,3-1,4-0,2-2,2-1,2-0,2-0,2-2,0-2,1-1,2-2,0-2,1-1,1-1,,1-2,1-1,2-0,3-1,1-1,3-1,3-0,2-0,1-1,2-0,0-2,1-3,1-1,2-2,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,MIL,2016,2-1,1-3,3-0,1-3,1-3,1-3,1-1,1-1,1-3,1-1,1-1,1-3,0-2,1-1,1-1,2-1,,2-0,1-1,2-2,0-2,2-2,3-0,2-0,1-1,0-2,0-2,0-4,0-2,1-3,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,MIN,2016,2-0,1-1,2-0,2-0,0-2,0-2,0-4,1-3,0-2,1-2,0-3,0-2,1-3,2-1,2-2,1-1,0-2,,2-2,0-2,1-3,0-2,1-1,2-2,1-3,4-0,0-3,1-1,1-3,1-1,,,,,,,,,,,,,,,,,,,
New Orleans Pelicans,NOP,2016,0-2,0-2,2-0,0-2,1-1,1-1,2-2,2-1,2-0,0-3,1-3,0-2,1-3,1-2,0-4,0-2,1-1,2-2,,1-1,1-2,0-2,1-1,2-2,1-3,4-0,1-3,0-2,2-2,1-1,,,,,,,,,,,,,,,,,,,
New York Knicks,NYK,2016,2-2,1-3,2-2,3-1,1-3,0-4,0-2,0-2,2-1,0-2,1-1,0-3,0-2,2-0,0-2,1-3,2-2,2-0,1-1,,1-1,1-2,4-0,2-0,1-1,0-2,0-2,1-3,1-1,1-2,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,OKC,2016,1-1,1-1,1-1,0-2,2-0,0-2,4-0,4-0,1-1,0-3,2-2,1-1,3-1,4-0,2-1,1-1,2-0,3-1,2-1,1-1,,2-0,2-0,3-0,2-2,2-2,2-2,1-1,4-0,2-0,,,,,,,,,,,,,,,,,,,
Orlando Magic,ORL,2016,2-2,2-2,4-0,2-1,1-3,0-4,1-1,2-0,0-3,0-2,1-1,1-3,0-2,1-1,1-1,1-3,2-2,2-0,2-0,2-1,0-2,,3-1,0-2,1-1,1-1,0-2,1-2,2-0,0-4,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,PHI,2016,0-3,0-4,2-2,0-4,0-4,0-4,0-2,0-2,0-4,0-2,0-2,0-3,0-2,1-1,0-2,0-3,0-3,1-1,1-1,0-4,0-2,1-3,,2-0,1-1,1-1,0-2,0-4,0-2,0-4,,,,,,,,,,,,,,,,,,,
