TEAM,TEAM ABBREVIATION,SEASON,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS,,,,,,,,,,,,,,,,,,,
New York Knicks,NYK,2011,2-2,0-4,2-1,2-1,1-3,0-2,1-1,2-1,1-1,0-2,2-2,1-1,0-2,2-0,2-2,1-3,1-1,4-0,2-0,,1-1,1-3,2-2,1-1,1-1,1-1,1-1,4-0,1-1,3-0,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,OKC,2011,2-0,1-1,2-0,1-1,2-0,1-2,3-1,2-0,2-1,3-1,2-0,2-2,1-2,1-3,1-1,1-1,4-0,2-0,3-1,1-1,,1-1,2-0,3-1,3-1,4-0,0-3,0-2,3-1,2-0,,,,,,,,,,,,,,,,,,,
Orlando Magic,ORL,2011,1-3,1-2,4-0,1-3,4-0,1-1,1-1,2-1,1-1,2-0,3-0,2-0,1-1,1-1,2-2,3-1,2-0,4-0,0-2,3-1,1-1,,3-1,2-0,0-2,1-1,1-1,1-2,0-2,4-0,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,PHI,2011,2-2,1-3,2-1,2-1,2-2,0-2,2-0,1-2,1-1,2-0,2-2,2-0,0-2,0-2,0-3,2-2,2-0,4-0,1-1,2-2,0-2,1-3,,2-0,1-1,1-1,1-1,2-2,1-1,2-2,,,,,,,,,,,,,,,,,,,
Phoenix Suns,PHO,2011,2-0,1-1,0-2,0-2,2-0,0-4,1-3,1-1,4-0,2-1,2-0,3-1,1-3,1-2,0-2,2-0,3-0,2-0,1-3,1-1,1-3,0-2,0-2,,1-3,1-3,1-3,2-0,3-0,2-0,,,,,,,,,,,,,,,,,,,
Portland Trail Blazers,PLB,2011,0-2,0-2,1-1,1-1,2-0,2-2,2-2,2-0,1-3,2-1,1-1,3-0,1-3,2-1,1-1,2-0,4-0,1-1,1-3,1-1,1-3,2-0,1-1,3-1,,2-1,3-1,2-0,3-1,1-1,,,,,,,,,,,,,,,,,,,
Sacramento Kings,SAC,2011,0-2,0-2,0-2,0-2,1-1,0-3,1-3,0-2,2-2,1-3,1-1,1-3,1-3,1-3,0-2,1-1,2-1,1-1,1-3,1-1,0-4,1-1,1-1,3-1,1-2,,0-3,1-1,1-3,1-1,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,SAN,2011,2-0,0-2,2-0,1-1,2-0,3-1,3-1,2-0,4-0,3-1,2-0,2-1,2-2,2-2,1-1,2-0,4-0,2-0,2-2,1-1,3-0,1-1,1-1,3-1,1-3,3-0,,2-0,3-0,2-0,,,,,,,,,,,,,,,,,,,
Toronto Raptors,TOR,2011,0-3,1-3,0-4,1-3,2-1,1-1,0-2,1-3,0-2,1-1,1-2,1-1,0-2,0-2,0-4,0-4,1-1,2-2,1-1,0-4,2-0,2-1,2-2,0-2,0-2,1-1,0-2,,0-2,2-2,,,,,,,,,,,,,,,,,,,
Utah Jazz,UTA,2011,1-1,0-2,2-0,0-2,2-0,0-4,2-2,1-1,1-3,1-2,2-0,3-0,2-2,2-2,1-1,2-0,3-1,1-1,2-2,1-1,1-3,2-0,1-1,0-3,1-3,3-1,0-3,2-0,,0-2,,,,,,,,,,,,,,,,,,,
Washington Wizards,WAS,2011,1-3,2-2,2-2,0-4,2-2,0-2,0-2,1-2,0-2,1-1,1-3,0-2,0-2,1-1,0-4,1-2,1-1,2-1,0-2,0-3,0-2,0-4,2-2,0-2,1-1,1-1,0-2,2-2,2-0,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,ATL,2010,,4-0,2-2,3-1,1-3,1-1,1-1,2-2,1-1,2-0,3-0,2-0,1-1,2-0,1-3,2-1,2-0,3-0,1-1,1-3,0-2,1-3,2-1,1-1,2-0,2-0,1-1,3-1,2-0,4-0,,,,,,,,,,,,,,,,,,,
Boston Celtics,BOS,2010,0-4,,3-0,2-2,2-2,1-1,1-1,2-1,1-1,1-1,2-1,1-1,1-1,1-1,3-0,2-2,2-0,3-1,1-1,3-1,1-1,1-3,3-1,0-2,2-0,2-0,1-1,4-0,1-1,3-1,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,BKN,2010,2-2,0-3,,1-3,3-1,0-2,1-1,2-1,2-0,1-1,1-2,1-1,1-1,2-0,3-1,2-2,2-0,2-2,1-1,2-2,1-1,1-3,3-1,2-0,0-2,2-0,1-1,1-2,0-2,4-0,,,,,,,,,,,,,,,,,,,
Charlotte Hornets,CLH,2010,1-3,2-2,3-1,,2-2,0-2,0-2,4-0,1-1,2-0,3-1,0-2,0-2,0-2,1-3,1-3,2-0,1-2,2-0,3-1,1-1,1-2,3-1,1-1,1-1,1-1,2-0,1-2,0-2,2-1,,,,,,,,,,,,,,,,,,,
Chicago Bulls,CHI,2010,3-1,2-2,1-3,2-2,,1-1,0-2,4-0,2-0,1-1,3-1,2-0,2-0,1-1,3-0,3-1,2-0,4-0,2-0,3-0,2-0,2-2,3-0,2-0,2-0,2-0,1-1,3-1,1-1,2-1,,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers,CLE,2010,1-1,1-1,2-0,2-0,1-1,,2-1,2-0,3-1,2-2,2-0,3-0,2-2,3-1,2-0,2-0,3-1,2-0,2-2,1-1,2-2,1-1,1-1,2-1,1-3,4-0,3-1,1-1,1-2,1-1,,,,,,,,,,,,,,,,,,,
Dallas Mavericks,DAL,2010,1-1,1-1,1-1,2-0,2-0,1-2,,1-1,4-0,2-1,2-0,2-1,3-1,3-1,1-1,0-2,3-1,2-0,3-1,1-1,3-1,1-1,1-1,1-3,3-1,1-2,2-2,2-0,3-1,1-1,,,,,,,,,,,,,,,,,,,
Denver Nuggets,DEN,2010,2-2,1-2,1-2,0-4,0-4,0-2,1-1,,1-1,1-1,0-4,0-2,0-2,1-1,1-2,2-2,2-0,2-1,1-1,1-3,0-2,1-3,3-1,0-2,0-2,1-1,1-1,0-4,0-2,4-0,,,,,,,,,,,,,,,,,,,
Detroit Pistons,DET,2010,1-1,1-1,0-2,1-1,0-2,1-3,0-4,1-1,,0-3,1-1,2-2,0-4,2-2,0-2,0-2,3-0,2-0,1-3,2-0,1-3,0-2,0-2,1-3,2-2,2-2,0-3,2-0,0-3,0-2,,,,,,,,,,,,,,,,,,,
Golden State Warriors,GOL,2010,0-2,1-1,1-1,0-2,1-1,2-2,1-2,1-1,3-0,,0-2,2-1,1-3,4-0,0-2,2-0,3-0,2-0,1-3,2-0,3-1,0-2,1-1,0-4,2-2,2-2,2-2,1-1,2-2,2-0,,,,,,,,,,,,,,,,,,,
Houston Rockets,HOU,2010,0-3,1-2,2-1,1-3,1-3,0-2,0-2,4-0,1-1,2-0,,1-1,0-2,0-2,0-4,0-4,1-1,4-0,0-2,2-2,1-1,1-3,2-1,1-1,0-2,1-1,0-2,2-2,1-1,3-1,,,,,,,,,,,,,,,,,,,
Indiana Pacers,IND,2010,0-2,1-1,1-1,2-0,0-2,0-3,1-2,2-0,2-2,1-2,1-1,,2-2,2-2,1-1,1-1,3-1,1-1,0-4,0-2,1-2,0-2,2-0,0-4,1-3,1-3,0-4,0-2,1-3,2-0,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers,LAC,2010,1-1,1-1,1-1,2-0,0-2,2-2,1-3,2-0,4-0,3-1,2-0,2-2,,2-1,1-1,2-0,3-0,2-0,2-1,2-0,3-1,1-1,2-0,3-1,1-2,4-0,2-2,1-1,3-1,2-0,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,LOS,2010,0-2,1-1,0-2,2-0,1-1,1-3,1-3,1-1,2-2,0-4,2-0,2-2,1-2,,1-1,0-2,3-1,2-0,2-2,2-0,1-2,1-1,1-1,2-2,2-2,2-1,2-2,2-0,1-2,2-0,,,,,,,,,,,,,,,,,,,
Memphis Grizzlies,MEM,2010,3-1,0-3,1-3,3-1,0-3,0-2,1-1,2-1,2-0,2-0,4-0,1-1,1-1,1-1,,1-3,1-1,4-0,1-1,3-0,0-2,2-2,4-0,1-1,1-1,2-0,0-2,2-2,1-1,3-1,,,,,,,,,,,,,,,,,,,
Miami Heat,MIA,2010,1-2,2-2,2-2,3-1,1-3,0-2,2-0,2-2,2-0,0-2,4-0,1-1,0-2,2-0,3-1,,2-0,4-0,1-1,3-0,1-1,0-3,2-2,1-1,1-1,1-1,0-2,2-1,1-1,2-2,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,MIL,2010,0-2,0-2,0-2,0-2,0-2,1-3,1-3,0-2,0-3,0-3,1-1,1-3,0-3,1-3,1-1,0-2,,2-0,0-4,1-1,0-4,0-2,1-1,0-4,0-4,2-2,0-3,0-2,2-2,1-1,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,MIN,2010,0-3,1-3,2-2,2-1,0-4,0-2,0-2,1-2,0-2,0-2,0-4,1-1,0-2,0-2,0-4,0-4,0-2,,1-1,2-2,0-2,0-3,0-4,0-2,0-2,1-1,1-1,0-4,0-2,0-4,,,,,,,,,,,,,,,,,,,
New Orleans Pelicans,NOP,2010,1-1,1-1,1-1,0-2,0-2,2-2,1-3,1-1,3-1,3-1,2-0,4-0,1-2,2-2,1-1,1-1,4-0,1-1,,0-2,1-2,1-1,0-2,1-3,1-2,2-1,0-4,0-2,1-3,1-1,,,,,,,,,,,,,,,,,,,
New York Knicks,NYK,2010,3-1,1-3,2-2,1-3,0-3,1-1,1-1,3-1,0-2,0-2,2-2,2-0,0-2,0-2,0-3,0-3,1-1,2-2,2-0,,0-2,0-3,3-1,1-1,1-1,0-2,0-2,0-4,0-2,3-1,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,OKC,2010,2-0,1-1,1-1,1-1,0-2,2-2,1-3,2-0,3-1,1-3,1-1,2-1,1-3,2-1,2-0,1-1,4-0,2-0,2-1,2-0,,1-1,2-0,2-1,1-3,3-1,1-3,2-0,3-1,2-0,,,,,,,,,,,,,,,,,,,
Orlando Magic,ORL,2010,3-1,3-1,3-1,2-1,2-2,1-1,1-1,3-1,2-0,2-0,3-1,2-0,1-1,1-1,2-2,3-0,2-0,3-0,1-1,3-0,1-1,,4-0,1-1,1-1,2-0,1-1,3-1,1-1,2-2,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,PHI,2010,1-2,1-3,1-3,1-3,0-3,1-1,1-1,1-3,2-0,1-1,1-2,0-2,0-2,1-1,0-4,2-2,1-1,4-0,2-0,1-3,0-2,0-4,,0-2,1-1,2-0,1-1,1-3,0-2,0-3,,,,,,,,,,,,,,,,,,,
Phoenix Suns,PHO,2010,1-1,2-0,0-2,1-1,0-2,1-2,3-1,2-0,3-1,4-0,1-1,4-0,1-3,2-2,1-1,1-1,4-0,2-0,3-1,1-1,1-2,1-1,2-0,,1-2,4-0,2-1,2-0,2-2,2-0,,,,,,,,,,,,,,,,,,,
Portland Trail Blazers,PLB,2010,0-2,0-2,2-0,1-1,0-2,3-1,1-3,2-0,2-2,2-2,2-0,3-1,2-1,2-2,1-1,1-1,4-0,2-0,2-1,1-1,3-1,1-1,1-1,2-1,,4-0,3-0,2-0,0-4,1-1,,,,,,,,,,,,,,,,,,,
Sacramento Kings,SAC,2010,0-2,0-2,0-2,1-1,0-2,0-4,2-1,1-1,2-2,2-2,1-1,3-1,0-4,1-2,0-2,1-1,2-2,1-1,1-2,2-0,1-3,0-2,0-2,0-4,0-4,,0-4,1-1,2-1,1-1,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,SAN,2010,1-1,1-1,1-1,0-2,1-1,1-3,2-2,1-1,3-0,2-2,2-0,4-0,2-2,2-2,2-0,2-0,3-0,1-1,4-0,2-0,3-1,1-1,1-1,1-2,0-3,4-0,,1-1,0-4,2-0,,,,,,,,,,,,,,,,,,,
Toronto Raptors,TOR,2010,1-3,0-4,2-1,2-1,1-3,1-1,0-2,4-0,0-2,1-1,2-2,2-0,1-1,0-2,2-2,1-2,2-0,4-0,2-0,4-0,0-2,1-3,3-1,0-2,0-2,1-1,1-1,,0-2,2-1,,,,,,,,,,,,,,,,,,,
Utah Jazz,UTA,2010,0-2,1-1,2-0,2-0,1-1,2-1,1-3,2-0,3-0,2-2,1-1,3-1,1-3,2-1,1-1,1-1,2-2,2-0,3-1,2-0,1-3,1-1,2-0,2-2,4-0,1-2,4-0,2-0,,2-0,,,,,,,,,,,,,,,,,,,
Washington Wizards,WAS,2010,0-4,1-3,0-4,1-2,1-2,1-1,1-1,0-4,2-0,0-2,1-3,0-2,0-2,0-2,1-3,2-2,1-1,4-0,1-1,1-3,0-2,2-2,3-0,0-2,1-1,1-1,0-2,1-2,0-2,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,ATL,2009,,0-4,3-1,3-0,1-3,1-1,1-1,3-0,1-1,1-1,3-1,1-1,1-1,1-1,3-1,3-1,2-0,1-3,2-0,1-2,2-0,1-3,1-2,0-2,1-1,2-0,0-2,3-1,1-1,4-0,,,,,,,,,,,,,,,,,,,
Boston Celtics,BOS,2009,4-0,,2-1,2-1,2-2,2-0,1-1,3-1,1-1,1-1,3-1,1-1,0-2,2-0,3-1,2-1,2-0,4-0,2-0,3-1,2-0,2-2,4-0,2-0,1-1,2-0,1-1,4-0,1-1,3-0,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,BKN,2009,1-3,1-2,,2-1,0-3,0-2,0-2,1-3,1-1,0-2,2-2,2-0,2-0,2-0,1-3,1-3,1-1,1-2,1-1,2-2,1-1,0-4,3-1,1-1,1-1,2-0,0-2,2-2,1-1,3-1,,,,,,,,,,,,,,,,,,,
Charlotte Hornets,CLH,2009,0-3,1-2,1-2,,1-3,1-1,1-1,3-1,2-0,1-1,2-2,2-0,0-2,1-1,1-3,3-1,0-2,3-1,2-0,2-1,1-1,1-3,2-2,2-0,0-2,2-0,0-2,1-3,2-0,3-1,,,,,,,,,,,,,,,,,,,
Chicago Bulls,CHI,2009,3-1,2-2,3-0,3-1,,2-0,2-0,3-1,2-0,1-1,3-1,2-0,0-2,2-0,3-1,4-0,2-0,3-0,1-1,4-0,2-0,1-2,3-1,2-0,2-0,2-0,2-0,3-0,2-0,2-2,,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers,CLE,2009,1-1,0-2,2-0,1-1,0-2,,0-4,2-0,2-1,2-2,2-0,3-1,0-3,2-2,2-0,1-1,4-0,1-1,1-3,2-0,2-1,1-1,2-0,3-1,3-0,3-1,2-2,2-0,2-2,2-0,,,,,,,,,,,,,,,,,,,
Dallas Mavericks,DAL,2009,1-1,1-1,2-0,1-1,0-2,4-0,,0-2,2-1,1-3,1-1,4-0,1-3,3-0,2-0,1-1,4-0,1-1,2-2,2-0,4-0,1-1,2-0,1-2,2-2,3-1,2-1,2-0,2-2,2-0,,,,,,,,,,,,,,,,,,,
Denver Nuggets,DEN,2009,0-3,1-3,3-1,1-3,1-3,0-2,2-0,,2-0,0-2,2-2,2-0,1-1,1-1,1-3,3-1,1-1,2-2,0-2,2-2,1-1,3-0,1-2,0-2,0-2,2-0,1-1,3-0,0-2,3-1,,,,,,,,,,,,,,,,,,,
Detroit Pistons,DET,2009,1-1,1-1,1-1,0-2,0-2,1-2,1-2,0-2,,0-4,1-1,3-1,0-4,0-3,0-2,1-1,2-2,2-0,2-2,1-1,2-2,0-2,1-1,1-3,2-1,2-2,0-4,1-1,2-2,1-1,,,,,,,,,,,,,,,,,,,
Golden State Warriors,GOL,2009,1-1,1-1,2-0,1-1,1-1,2-2,3-1,2-0,4-0,,0-2,3-1,0-4,2-2,2-0,1-1,4-0,2-0,3-1,1-1,3-0,2-0,0-2,2-1,2-1,3-0,2-2,1-1,2-2,1-1,,,,,,,,,,,,,,,,,,,
Houston Rockets,HOU,2009,1-3,1-3,2-2,2-2,1-3,0-2,1-1,2-2,1-1,2-0,,1-1,1-1,1-1,2-1,2-2,1-1,2-1,0-2,1-2,2-0,1-3,2-2,1-1,0-2,2-0,0-2,2-2,0-2,2-1,,,,,,,,,,,,,,,,,,,
Indiana Pacers,IND,2009,1-1,1-1,0-2,0-2,0-2,1-3,0-4,0-2,1-3,1-3,1-1,,0-4,1-2,1-1,1-1,1-2,1-1,0-3,2-0,3-1,0-2,0-2,0-4,1-3,1-3,0-4,0-2,0-3,1-1,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers,LAC,2009,1-1,2-0,0-2,2-0,2-0,3-0,3-1,1-1,4-0,4-0,1-1,4-0,,4-0,1-1,2-0,4-0,2-0,3-1,2-0,3-0,0-2,1-1,3-1,2-2,3-1,2-1,2-0,2-1,2-0,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,LOS,2009,1-1,0-2,0-2,1-1,0-2,2-2,0-3,1-1,3-0,2-2,1-1,2-1,0-4,,1-1,1-1,0-3,0-2,1-3,0-2,1-3,1-1,0-2,1-3,0-4,2-2,0-4,1-1,0-4,2-0,,,,,,,,,,,,,,,,,,,
Memphis Grizzlies,MEM,2009,1-3,1-3,3-1,3-1,1-3,0-2,0-2,3-1,2-0,0-2,1-2,1-1,1-1,1-1,,2-1,1-1,3-1,0-2,2-1,2-0,1-3,2-2,2-0,0-2,2-0,1-1,1-2,2-0,4-0,,,,,,,,,,,,,,,,,,,
Miami Heat,MIA,2009,1-3,1-2,3-1,1-3,0-4,1-1,1-1,1-3,1-1,1-1,2-2,1-1,0-2,1-1,1-2,,0-2,2-2,0-2,3-1,2-0,1-3,0-3,0-2,0-2,2-0,2-0,2-2,1-1,3-0,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,MIL,2009,0-2,0-2,1-1,2-0,0-2,0-4,0-4,1-1,2-2,0-4,1-1,2-1,0-4,3-0,1-1,2-0,,1-1,1-2,1-1,2-2,0-2,1-1,1-2,0-4,1-3,0-4,0-2,1-3,0-2,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,MIN,2009,3-1,0-4,2-1,1-3,0-3,1-1,1-1,2-2,0-2,0-2,1-2,1-1,0-2,2-0,1-3,2-2,1-1,,0-2,2-2,1-1,1-2,4-0,1-1,0-2,2-0,0-2,2-2,1-1,2-2,,,,,,,,,,,,,,,,,,,
New Orleans Pelicans,NOP,2009,0-2,0-2,1-1,0-2,1-1,3-1,2-2,2-0,2-2,1-3,2-0,3-0,1-3,3-1,2-0,2-0,2-1,2-0,,0-2,4-0,1-1,2-0,2-1,2-2,3-1,2-2,2-0,0-3,2-0,,,,,,,,,,,,,,,,,,,
New York Knicks,NYK,2009,2-1,1-3,2-2,1-2,0-4,0-2,0-2,2-2,1-1,1-1,2-1,0-2,0-2,2-0,1-2,1-3,1-1,2-2,2-0,,1-1,1-3,0-4,1-1,0-2,1-1,1-1,2-2,1-1,3-1,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,OKC,2009,0-2,0-2,1-1,1-1,0-2,1-2,0-4,1-1,2-2,0-3,0-2,1-3,0-3,3-1,0-2,0-2,2-2,1-1,0-4,1-1,,0-2,1-1,0-4,1-3,2-1,2-2,1-1,1-3,1-1,,,,,,,,,,,,,,,,,,,
Orlando Magic,ORL,2009,3-1,2-2,4-0,3-1,2-1,1-1,1-1,0-3,2-0,0-2,3-1,2-0,2-0,1-1,3-1,3-1,2-0,2-1,1-1,3-1,2-0,,3-0,1-1,1-1,2-0,2-0,2-2,2-0,4-0,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,PHI,2009,2-1,0-4,1-3,2-2,1-3,0-2,0-2,2-1,1-1,2-0,2-2,2-0,1-1,2-0,2-2,3-0,1-1,0-4,0-2,4-0,1-1,0-3,,1-1,2-0,2-0,1-1,2-2,0-2,4-0,,,,,,,,,,,,,,,,,,,
Phoenix Suns,PHO,2009,2-0,0-2,1-1,0-2,0-2,1-3,2-1,2-0,3-1,1-2,1-1,4-0,1-3,3-1,0-2,2-0,2-1,1-1,1-2,1-1,4-0,1-1,1-1,,2-2,3-1,1-3,2-0,2-2,2-0,,,,,,,,,,,,,,,,,,,
Portland Trail Blazers,PLB,2009,1-1,1-1,1-1,2-0,0-2,0-3,2-2,2-0,1-2,1-2,2-0,3-1,2-2,4-0,2-0,2-0,4-0,2-0,2-2,2-0,3-1,1-1,0-2,2-2,,3-0,3-1,2-0,2-2,2-0,,,,,,,,,,,,,,,,,,,
Sacramento Kings,SAC,2009,0-2,0-2,0-2,0-2,0-2,1-3,1-3,0-2,2-2,0-3,0-2,3-1,1-3,2-2,0-2,0-2,3-1,0-2,1-3,1-1,1-2,0-2,0-2,1-3,0-3,,0-3,0-2,0-4,0-2,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,SAN,2009,2-0,1-1,2-0,2-0,0-2,2-2,1-2,1-1,4-0,2-2,2-0,4-0,1-2,4-0,1-1,0-2,4-0,2-0,2-2,1-1,2-2,0-2,1-1,3-1,1-3,3-0,,1-1,3-0,2-0,,,,,,,,,,,,,,,,,,,
Toronto Raptors,TOR,2009,1-3,0-4,2-2,3-1,0-3,0-2,0-2,0-3,1-1,1-1,2-2,2-0,0-2,1-1,2-1,2-2,2-0,2-2,0-2,2-2,1-1,2-2,2-2,0-2,0-2,2-0,1-1,,0-2,2-1,,,,,,,,,,,,,,,,,,,
Utah Jazz,UTA,2009,1-1,1-1,1-1,0-2,0-2,2-2,2-2,2-0,2-2,2-2,2-0,3-0,1-2,4-0,0-2,1-1,3-1,1-1,3-0,1-1,3-1,0-2,2-0,2-2,2-2,4-0,0-3,2-0,,1-1,,,,,,,,,,,,,,,,,,,
Washington Wizards,WAS,2009,0-4,0-3,1-3,1-3,2-2,0-2,0-2,1-3,1-1,1-1,1-2,1-1,0-2,0-2,0-4,0-3,2-0,2-2,0-2,1-3,1-1,0-4,0-4,0-2,0-2,2-0,0-2,1-2,1-1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
